[595.5, 385;
 560.5968, 384.25748;
 527, 381;
 492.79077, 380.65732;
 457.5, 379.5;
 424, 377.5;
 389.5, 376;
 356.27719, 374.24155;
 322, 372.5;
 288.5, 371;
 255.5, 368.5;
 591.23956, 353.99759;
 558, 351.5;
 524.20868, 348.86407;
 490.5, 348.5;
 459.25217, 345.37167;
 425.5, 344;
 391.94565, 343.56628;
 358.87988, 342.56183;
 324, 339.5;
 291, 338.5;
 258, 336.5;
 588.5, 322;
 557.15936, 319.76089;
 524.5, 317;
 490.58878, 317.39285;
 459, 314;
 426.1933, 312.16858;
 393.00861, 312.62836;
 360.85327, 309.74814;
 327, 308.5;
 293.5, 307;
 262.58548, 306.58252;
 586.36865, 290.66159;
 554, 290;
 522.24323, 288.40613;
 490, 287;
 457.54593, 285.23517;
 424, 284.5;
 392.25516, 282.74887;
 359.28903, 279.62347;
 330.41302, 277.47495;
 297.5, 277;
 266, 276.5;
 584, 262.5;
 552.57404, 259.46539;
 521, 258.5;
 489.5, 257;
 458.5405, 256.60358;
 426.56369, 253.38106;
 395, 252;
 362.5, 251.5;
 331.5, 249.5;
 298, 248;
 269.96698, 247.58823;
 581.72449, 234.79108;
 550.5, 232.5;
 519.90637, 230.77768;
 487.76752, 227.16483;
 457.5, 227.5;
 425.98053, 225.94627;
 394.5, 224.5;
 362, 224;
 330.23633, 222.83966;
 300.5, 221;
 269.5, 218;
 579.5, 206;
 548.98279, 204.97957;
 518, 203.5;
 488.26422, 201.66689;
 457, 200.5;
 425.5, 198;
 396.45248, 198.72363;
 365.5, 197;
 334.41116, 194.24002;
 304, 194;
 274.5, 191;
 575, 182;
 548.41028, 179.30316;
 516.5, 176.5;
 487, 175;
 455.66534, 175.039;
 426, 173;
 397, 171.5;
 366, 168.5;
 335.78815, 168.26128;
 306, 167;
 276, 166]
