[578, 354;
 546.26416, 355.56198;
 514.5, 355.5;
 483.32376, 357.4646;
 451, 359.5;
 422.47968, 359.35004;
 393.55942, 360.77185;
 362.33353, 362.3924;
 334.40411, 362.36951;
 307.77075, 362.18207;
 278.32782, 364.28613;
 576.52356, 327.2955;
 544, 329.5;
 513.72943, 330.37286;
 482, 333;
 453.14688, 333.02295;
 425.57541, 334.43832;
 394.25549, 336.12222;
 366.07822, 336.05176;
 337.86224, 337.6593;
 309.78354, 337.72162;
 283.11505, 340.72269;
 572.80078, 300.15967;
 542.91705, 305.36163;
 513.54858, 307.86264;
 483.37558, 306.98965;
 454.45157, 308.41226;
 425.80005, 309.68033;
 394.30115, 310.70792;
 369.57834, 311.4621;
 342.95715, 314.267;
 315.53552, 313.67236;
 288.51559, 316.44095;
 571.8822, 280.13196;
 542.39642, 282.44635;
 512.50922, 282.08255;
 484.33105, 284.33319;
 454.44345, 285.96631;
 426.16193, 285.32211;
 399.66974, 287.30731;
 372.44571, 290.22546;
 345.5, 291.5;
 318.27521, 292.06546;
 293.91202, 292.15143;
 570.70422, 257.23965;
 541.51251, 258.12189;
 512.65271, 261.20981;
 484.3511, 261.42664;
 456.52838, 263.89117;
 428.06384, 264.45163;
 402.5, 264.5;
 374.26196, 267.68665;
 348.51682, 270.06042;
 323.63672, 269.69577;
 296.20035, 272.14093;
 568.82159, 234.25516;
 540.66589, 237.35089;
 512.26483, 237.99005;
 484.46341, 240.3963;
 456.35712, 242.05119;
 430.35632, 244.3132;
 403.30408, 245.46037;
 376.84042, 250.02492;
 352.47623, 248.04623;
 326.50687, 250.64275;
 300.5202, 251.54939;
 568, 213;
 539.57922, 216.47525;
 512.2066, 218.59491;
 484.09982, 220.02003;
 458.28159, 222.35269;
 432.27664, 221.4913;
 404.96243, 227.88483;
 380.38736, 225.52351;
 354.10593, 228.79901;
 330.45984, 229.638;
 303.93463, 231.95732;
 566.23083, 193.99443;
 538.63324, 196.39177;
 511.61124, 198.38232;
 485.04102, 200.86333;
 457.76782, 202.27682;
 432.76782, 204.1857;
 408.84665, 205.06662;
 382.18835, 208.53824;
 356.32123, 210.69264;
 332.45691, 212.47672;
 307.66586, 214.6792]
