[469.82608, 339.88577;
 441.93161, 335.63992;
 415.21417, 330.80624;
 387.70444, 324.31146;
 362.59576, 320.29395;
 337.47601, 314.34021;
 313.75061, 309.59222;
 291, 305;
 268.99289, 299.38788;
 248.76184, 295.58838;
 226.70586, 292.11667;
 478.46533, 311.09283;
 450.78107, 306.83636;
 422.79999, 300.99683;
 396.50647, 296.40286;
 370.71231, 291.63846;
 346.25513, 287.52524;
 323, 282;
 299.5224, 280.42981;
 277.52502, 274.99969;
 256.47437, 270.9761;
 235.78114, 268.55112;
 486.42154, 281.66138;
 458.04337, 277.07098;
 430.64621, 272.64539;
 405.077, 268.48416;
 379.69995, 266.13916;
 356.36545, 260.56635;
 331.53705, 258.26184;
 307.96863, 253.79933;
 286.49994, 249.87271;
 266.63068, 245.3743;
 245.31598, 243.51051;
 494.49927, 253.11209;
 465.90707, 248.99701;
 438.79938, 246.61496;
 413.51642, 242.15747;
 388.35126, 238.05547;
 363.77679, 235.77644;
 340.38562, 231.70651;
 317.72122, 228.58528;
 295.5, 225.5;
 274.55536, 222.54718;
 253.38963, 220.61287;
 502.0921, 225.82552;
 474.52258, 221.91376;
 447.15378, 219.64334;
 420.62994, 216.61057;
 396.29782, 212.41681;
 371.89325, 210.21986;
 348.70642, 207.22498;
 326.43277, 204.03506;
 304.42883, 202.55174;
 282.03659, 200.30267;
 263.03635, 196.74245;
 510.08289, 198.1319;
 481.76248, 195.5139;
 456.01511, 191.78517;
 429.60071, 190.20946;
 403.55856, 187.87993;
 380.44739, 184.62543;
 358.15887, 181.92535;
 334.42285, 179.66512;
 312.72891, 178.42137;
 292.47141, 176.4864;
 271.7702, 173.96283;
 516.63727, 171.71475;
 489, 168.5;
 463.22916, 167.14983;
 438.39084, 163.46172;
 412.32138, 162.19742;
 389.90042, 159.95168;
 366.76001, 158.95503;
 344.72708, 156.65556;
 321.37259, 156.51863;
 300.30957, 154.03763;
 280.27032, 151.78104;
 525.17938, 143.36208;
 497.22949, 143.48517;
 469.32202, 142.68863;
 445.18286, 139.56448;
 420.47369, 138.08308;
 396.53311, 136.59737;
 372.66833, 137.274;
 351.54562, 134.10423;
 330.2262, 132.29102;
 308.65207, 132.78181;
 288.69485, 130.41191]
