[30, 21, 0;
 27, 21, 0;
 24, 21, 0;
 21, 21, 0;
 18, 21, 0;
 15, 21, 0;
 12, 21, 0;
 9, 21, 0;
 6, 21, 0;
 3, 21, 0;
 0, 21, 0;
 30, 18, 0;
 27, 18, 0;
 24, 18, 0;
 21, 18, 0;
 18, 18, 0;
 15, 18, 0;
 12, 18, 0;
 9, 18, 0;
 6, 18, 0;
 3, 18, 0;
 0, 18, 0;
 30, 15, 0;
 27, 15, 0;
 24, 15, 0;
 21, 15, 0;
 18, 15, 0;
 15, 15, 0;
 12, 15, 0;
 9, 15, 0;
 6, 15, 0;
 3, 15, 0;
 0, 15, 0;
 30, 12, 0;
 27, 12, 0;
 24, 12, 0;
 21, 12, 0;
 18, 12, 0;
 15, 12, 0;
 12, 12, 0;
 9, 12, 0;
 6, 12, 0;
 3, 12, 0;
 0, 12, 0;
 30, 9, 0;
 27, 9, 0;
 24, 9, 0;
 21, 9, 0;
 18, 9, 0;
 15, 9, 0;
 12, 9, 0;
 9, 9, 0;
 6, 9, 0;
 3, 9, 0;
 0, 9, 0;
 30, 6, 0;
 27, 6, 0;
 24, 6, 0;
 21, 6, 0;
 18, 6, 0;
 15, 6, 0;
 12, 6, 0;
 9, 6, 0;
 6, 6, 0;
 3, 6, 0;
 0, 6, 0;
 30, 3, 0;
 27, 3, 0;
 24, 3, 0;
 21, 3, 0;
 18, 3, 0;
 15, 3, 0;
 12, 3, 0;
 9, 3, 0;
 6, 3, 0;
 3, 3, 0;
 0, 3, 0;
 30, 0, 0;
 27, 0, 0;
 24, 0, 0;
 21, 0, 0;
 18, 0, 0;
 15, 0, 0;
 12, 0, 0;
 9, 0, 0;
 6, 0, 0;
 3, 0, 0;
 0, 0, 0]
