[509.86459, 282.26212;
 478.52252, 293.44296;
 447.05859, 303.35638;
 414.36578, 313.25732;
 383.58047, 322.82324;
 352.54895, 332.45657;
 319.33139, 343.42548;
 287.58374, 352.50851;
 254.49919, 363.69962;
 224, 372.5;
 192.5, 382;
 498.51563, 252.09549;
 467.59671, 262.00293;
 436.06171, 271.96335;
 405.5358, 282.37021;
 373.50583, 291.3728;
 341.67496, 301.31158;
 310.03973, 311.72787;
 279.43311, 320.4946;
 247.45923, 330.49615;
 215.35075, 341.74631;
 185, 350;
 488.505, 222.31049;
 456.74011, 231.2608;
 426.53204, 240.63509;
 394.48239, 251.35733;
 363.71329, 260.59756;
 331.64731, 270.11188;
 301.20557, 280.26282;
 270.4744, 290.01263;
 239, 299.5;
 207.54546, 310.6286;
 176.71802, 320.99634;
 477.87964, 192.69858;
 447.30783, 202.63434;
 416.26306, 211.25677;
 385.46191, 220.8349;
 353.85931, 230.23857;
 323.88623, 240.01494;
 292.56891, 250.44461;
 262.46298, 259.58658;
 232.65092, 268.32797;
 200.36008, 278.88669;
 170.59953, 288.07208;
 467.47107, 164.48283;
 434.9874, 173.09203;
 406.54684, 182.13196;
 376.2402, 191.19856;
 345.49823, 201.6503;
 314.8006, 210.95796;
 284.37897, 219.99237;
 253.99408, 230.08252;
 223.5, 239.5;
 193.52486, 249.37602;
 161.01672, 259.6608;
 456.50626, 135.09416;
 425.76593, 144.43501;
 396.93811, 154.22476;
 366.74997, 162.47899;
 336.05966, 172.1687;
 306.43692, 182.55672;
 276.28363, 191.89192;
 246.05635, 201.46555;
 215.75909, 211.31798;
 186.32784, 220.843;
 156.46223, 230.80408;
 446.32327, 106.58119;
 416.55673, 116.56134;
 387.40762, 126.1761;
 357, 135;
 327.24197, 145.40517;
 297.70984, 153.64966;
 268.59012, 162.74745;
 237.71431, 172.52617;
 207.7995, 182.65109;
 178.42931, 192.49495;
 149, 201;
 437.26529, 80.688599;
 407.39545, 89.846992;
 378.18301, 98.822174;
 346.81476, 108.10202;
 318.74512, 117.02151;
 289.73871, 126.28522;
 259.56061, 135.49043;
 230.58362, 144.9765;
 201.5, 154.5;
 172.80119, 163.66525;
 143, 172.5]
