[30, 21;
 27, 21;
 24, 21;
 21, 21;
 18, 21;
 15, 21;
 12, 21;
 9, 21;
 6, 21;
 3, 21;
 0, 21;
 30, 18;
 27, 18;
 24, 18;
 21, 18;
 18, 18;
 15, 18;
 12, 18;
 9, 18;
 6, 18;
 3, 18;
 0, 18;
 30, 15;
 27, 15;
 24, 15;
 21, 15;
 18, 15;
 15, 15;
 12, 15;
 9, 15;
 6, 15;
 3, 15;
 0, 15;
 30, 12;
 27, 12;
 24, 12;
 21, 12;
 18, 12;
 15, 12;
 12, 12;
 9, 12;
 6, 12;
 3, 12;
 0, 12;
 30, 9;
 27, 9;
 24, 9;
 21, 9;
 18, 9;
 15, 9;
 12, 9;
 9, 9;
 6, 9;
 3, 9;
 0, 9;
 30, 6;
 27, 6;
 24, 6;
 21, 6;
 18, 6;
 15, 6;
 12, 6;
 9, 6;
 6, 6;
 3, 6;
 0, 6;
 30, 3;
 27, 3;
 24, 3;
 21, 3;
 18, 3;
 15, 3;
 12, 3;
 9, 3;
 6, 3;
 3, 3;
 0, 3;
 30, 0;
 27, 0;
 24, 0;
 21, 0;
 18, 0;
 15, 0;
 12, 0;
 9, 0;
 6, 0;
 3, 0;
 0, 0]
