[584.5, 305;
 551.5, 304;
 519, 304;
 485, 305.5;
 453.6962, 305.49048;
 418.5, 305.5;
 386.44766, 306.3074;
 355.23758, 305.57751;
 323, 306.5;
 292, 306.5;
 260.5, 306.5;
 585.97913, 271.72946;
 552, 271;
 517.5, 272;
 484, 273;
 450.25604, 273.75629;
 418.49158, 274.87918;
 386.76785, 274.12692;
 353, 275;
 322, 274.5;
 290, 275;
 259.46738, 275.96841;
 584.85211, 238.47136;
 550.5, 238.5;
 517, 240;
 484.95358, 240.34154;
 449.99356, 240.47295;
 417.5, 241;
 384.21512, 242.78914;
 352.72372, 242.1918;
 320.5, 242.5;
 289, 243.5;
 257, 243.5;
 584.5, 205;
 550.5, 206;
 516.5, 206.5;
 483, 207.5;
 449.5, 208;
 415.97269, 207.04675;
 384, 209.5;
 351, 210.5;
 318, 210.5;
 288.74033, 210.89346;
 257.9205, 211.86249;
 584.5, 171.5;
 550.5, 172.5;
 516, 173.5;
 482.5, 174;
 448.5, 175;
 415.5, 176;
 383.82214, 177.44191;
 349.41595, 179.0137;
 318, 178;
 286, 179.5;
 254, 180.5;
 584, 137.5;
 550.11707, 140.9852;
 516.9754, 139.80174;
 481.5, 141;
 448.35883, 142.8094;
 414.5, 143.5;
 382.85696, 143.92041;
 349, 145;
 316.5, 146;
 283.5, 148;
 252.5, 148.5;
 583.5, 104;
 550.5, 106;
 515, 106.5;
 481.5, 107.5;
 446.5, 108.5;
 414, 110;
 380.5, 111.5;
 345.97751, 113.04316;
 315.5, 113.5;
 283, 114.5;
 251, 116;
 583, 69;
 548, 71.5;
 513.5, 71;
 480.2709, 75.952774;
 444.5, 74;
 412.5, 76;
 379, 78;
 346, 79.5;
 313.82001, 79.883018;
 282.60355, 82.72171;
 250.98117, 84.512947]
