[549, 354.5;
 505.34967, 353.44464;
 462.2142, 355.34317;
 417.48328, 355.92697;
 375.18204, 356.04245;
 331.69928, 355.02771;
 288.03845, 355.81128;
 243.63887, 356.013;
 201.96007, 355.97247;
 157.61128, 356.3588;
 115.86747, 355.65622;
 545.5, 313;
 501.80545, 312.31433;
 459.71631, 313.78134;
 416.92056, 313.04416;
 373.70862, 313.55423;
 331.28867, 313.25497;
 288.51364, 313.63574;
 245.62177, 313.29724;
 201.29218, 313.88;
 160.31378, 313.52249;
 117.38581, 314.57651;
 541.66559, 272.13153;
 499.60724, 271.99039;
 456.61371, 272.66977;
 415.96933, 272.02649;
 372.65701, 273.20352;
 330.6149, 273.1203;
 288.29944, 273.64597;
 246.26341, 272.39908;
 204.44484, 273.64005;
 162.43799, 273.72086;
 121.61038, 273.59653;
 537.61072, 231.94852;
 496.319, 233.54811;
 454.4733, 233.92047;
 413.64542, 234.00774;
 371.90643, 233.93402;
 330.07147, 234.70792;
 288.57324, 234.00867;
 247.55167, 234.25583;
 206.16986, 235.46992;
 165.81642, 236.85197;
 124.54023, 235.4247;
 533.65668, 196.02328;
 494.69611, 195.53865;
 452.27457, 196.43945;
 412.28854, 195.84163;
 370.34857, 197.19412;
 329.99805, 196.80122;
 289.06586, 196.3555;
 248.28476, 197.32318;
 208.07646, 198.18439;
 167.54869, 197.80782;
 126, 199.5;
 530.68372, 158.55888;
 490.06796, 160.07469;
 450.42953, 160.2876;
 409.97733, 159.69637;
 370.18042, 160.68317;
 329.69852, 160.16692;
 290.14148, 159.77557;
 250.25511, 161.98183;
 209.34128, 161.46823;
 168.7382, 159.411;
 130.20567, 161.40509;
 526.4953, 123.78684;
 485.84451, 126.36962;
 447.48035, 124.49407;
 408.50357, 124.18674;
 368.41629, 125.6273;
 330.7496, 124.38174;
 290.31406, 126.29331;
 250.45093, 125.68453;
 211, 125;
 170.59454, 126.03993;
 131.04219, 125.13467;
 522.5, 90.5;
 484.09238, 89.91317;
 446.56311, 89.578674;
 406.37421, 91.531548;
 367.88715, 91.098724;
 329.71173, 91.717598;
 290.79169, 91.122726;
 248.6972, 90.713913;
 212.09476, 91.646339;
 173.5, 90.5;
 134.08986, 91.731239]
