[482.75922, 369.50833;
 446.35675, 365.47968;
 409.94357, 363.77127;
 373.81775, 360.71136;
 335.76883, 357.52545;
 298.00934, 355.43579;
 258.5358, 352.0293;
 219.65059, 348.13669;
 178.30734, 346.05222;
 136.70679, 341.37195;
 94.482246, 339.69009;
 484.26895, 330.1077;
 448.3139, 327.80002;
 412.34329, 325.33102;
 376.22952, 321.69952;
 338.54724, 318.50638;
 300.56058, 315.52945;
 261.58984, 311.7453;
 222.14549, 308.07355;
 181.9863, 304.44943;
 140.31041, 301.21915;
 97.461876, 297.97498;
 485.55099, 293.97696;
 450.4935, 289.72015;
 413.84763, 287.5993;
 378.06073, 283.75238;
 341.24124, 280.07657;
 303.62402, 275.80951;
 264.03455, 272.42014;
 225.66257, 267.99661;
 184.69212, 263.75107;
 144.00041, 259.80191;
 101.54016, 255.77689;
 486.0455, 257.60101;
 451.75357, 253.29425;
 415.99734, 249.92274;
 380.43536, 245.7953;
 343.0368, 241.84634;
 305.75873, 238.12729;
 267.60999, 233.45944;
 228.15906, 229.12013;
 188.05238, 225.4425;
 147.5, 221;
 106.10222, 215.91385;
 487.02573, 221.10146;
 454.4537, 216.11673;
 417.71799, 212.29164;
 382.4299, 207.65028;
 345.28552, 204.28743;
 307.87366, 199.70804;
 270.36789, 194.58177;
 231.25525, 190.60048;
 191.59682, 185.93408;
 150.93297, 181.5524;
 109.12332, 174.9487;
 488.59961, 184.74452;
 454.16797, 180.55788;
 419.49036, 175.3519;
 384.19171, 171.6496;
 347.3624, 167.60522;
 310.62479, 161.64009;
 273.28317, 156.86272;
 233.89645, 152.32187;
 194.31824, 147.39427;
 155.14011, 142.7765;
 113.81242, 135.89494;
 489.23703, 149.26907;
 455, 144.5;
 420.4931, 139.3512;
 385.88809, 133.74422;
 349.47696, 129.95998;
 313.80139, 123.72382;
 275.5191, 120.53091;
 236.95168, 113.66189;
 198.15431, 108.88937;
 158.26944, 101.95354;
 115.93562, 95.80658;
 490.73367, 113.34444;
 456.35818, 108.59129;
 422.5528, 103.21796;
 387.52124, 98.716576;
 351.28223, 94.001282;
 315.89291, 88.125961;
 278.34692, 81.799538;
 240.29181, 76.245018;
 201.47238, 70.493439;
 160.2072, 62.855438;
 120.06371, 59.548073]
