[504, 395;
 464.21094, 393.22586;
 422.64026, 391.90161;
 380.45053, 387.65427;
 338.26093, 385.5708;
 297.2908, 382.6998;
 256.32672, 380.45685;
 214.69971, 378.38593;
 174.28304, 373.93152;
 133.38734, 372.53323;
 95.5, 369;
 509, 354.5;
 466.68555, 353.49329;
 423.57019, 349.84451;
 382.39911, 347.10132;
 340.74316, 344.38626;
 299.48163, 342.22427;
 257.95651, 339.33331;
 216.5161, 337.04529;
 176.4411, 333.6088;
 136.34952, 332.11719;
 95.891846, 330.88379;
 512.21991, 312.72083;
 470.63309, 309.99332;
 427.83276, 308.00531;
 385.7005, 305.64566;
 344.12228, 303.48502;
 301.75562, 300.56573;
 260.25842, 298.36465;
 218.26781, 296.12177;
 178.32066, 293.64633;
 138.25609, 289.44275;
 97.660782, 287.42554;
 515.57465, 271.46539;
 472.55389, 268.5094;
 430.21085, 265.91946;
 388.14893, 264.07291;
 345.59637, 261.65601;
 304.25616, 259.45279;
 262.23068, 256.55038;
 220.17316, 254.11847;
 180.26219, 252.25024;
 140.01768, 250.02695;
 99.257133, 247.92894;
 518.13843, 228.72458;
 476.34982, 225.7361;
 432.86612, 224.16768;
 390.67456, 222.05655;
 348.02307, 219.63033;
 306.19351, 217.5327;
 264.40607, 215.61472;
 222.44237, 213.38251;
 182.11375, 211.48169;
 140.87981, 208.73508;
 100, 207.5;
 521.91315, 185.38832;
 478.32843, 183.91138;
 436.20877, 181.77222;
 393.55826, 179.75655;
 350.35895, 178.1796;
 308.48764, 175.5305;
 266.18594, 173.43925;
 225.29315, 172.18123;
 184.00827, 169.49184;
 141.30974, 166.87787;
 101.55129, 165.64449;
 524.99237, 143.46896;
 480.83871, 142.77306;
 438.25504, 138.97485;
 396.31354, 136.4348;
 353.04883, 135.43585;
 311, 132;
 267.31604, 130.35262;
 226.26053, 129.98657;
 186.27992, 128.34196;
 144.03906, 125.82262;
 103, 123.5;
 528.71985, 98.61557;
 484.46536, 97.244492;
 440, 98;
 398.06619, 94.061569;
 356.3367, 91.523277;
 313.38461, 89.843285;
 271.40112, 87.426071;
 228.46759, 85.376526;
 187.5, 85.5;
 143.60704, 81.583321;
 103.52183, 82.03437]
